"study","tot","updated_date","submission_center","submission_lab","platform","instrument_model","platform_parameters","study_title","study_url_link","study_alias","submission_date","study_abstract","study_description","year"
"ERP011664",88,"2016-06-29",NA,"European Nucleotide Archive","ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Characterization of maize B73 transcriptome by hybrid sequencing","E-MTAB-3826 in ArrayExpress: http://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-3826","E-MTAB-3826",NA,"Zea mays is a leading model for elucidating transcriptional networks in plants, aided by increasingly refined studies of the transcriptome atlas across spatio-temporal, developmental, and environmental dimensions. Limiting this progress are uncertainties about the complete structure mRNA transcripts, particularly with respect to alternatively spliced isoforms. Although second-generation RNA-seq provides a quantitative assay for transcriptional and posttranscriptional events, the accurate reconstruction of full-length mRNA isoforms is challenging with short-read technologies. By producing much longer reads, third generation sequencing offers to solve the assembly problem, but can suffer from lower read accuracy and throughput. Here, we combine these complementary technologies to define and quantify high-confidence transcript isoforms in maize. Six tissues (root, pollen, embryo, endosperm, immature ear, and immature tassel) of the B73 inbred line were used for mRNA sequencing with the Illumina Hiseq2000 PE101 platform to comprehensively quantitate gene/isoform expression. In parallel, intact cDNAs from the same samples were sequenced using the PacBio RS II platform. The latter used four size fractionated libraries (1-2kb, 2-3kb, 3kb-5kb, 5kb-10kb) to generate more than 2 million full length reads. Preliminary findings suggest that mechanisms of alternative splicing are differentially employed between different tissues. In addition, these data show promise to dramatically improve the status of maize genome annotation, with the detection of previously unidentified transcript isoforms, and uncovering previously unrecognized genes. This submission is data of Illumina Hiseq2000 PE101 reads.","Zea mays is a leading model for elucidating transcriptional networks in plants, aided by increasingly refined studies of the transcriptome atlas across spatio-temporal, developmental, and environmental dimensions. Limiting this progress are uncertainties about the complete structure mRNA transcripts, particularly with respect to alternatively spliced isoforms. Although second-generation RNA-seq provides a quantitative assay for transcriptional and posttranscriptional events, the accurate reconstruction of full-length mRNA isoforms is challenging with short-read technologies. By producing much longer reads, third generation sequencing offers to solve the assembly problem, but can suffer from lower read accuracy and throughput. Here, we combine these complementary technologies to define and quantify high-confidence transcript isoforms in maize. Six tissues (root, pollen, embryo, endosperm, immature ear, and immature tassel) of the B73 inbred line were used for mRNA sequencing with the Illumina Hiseq2000 PE101 platform to comprehensively quantitate gene/isoform expression. In parallel, intact cDNAs from the same samples were sequenced using the PacBio RS II platform. The latter used four size fractionated libraries (1-2kb, 2-3kb, 3kb-5kb, 5kb-10kb) to generate more than 2 million full length reads. Preliminary findings suggest that mechanisms of alternative splicing are differentially employed between different tissues. In addition, these data show promise to dramatically improve the status of maize genome annotation, with the detection of previously unidentified transcript isoforms, and uncovering previously unrecognized genes. This submission is data of Illumina Hiseq2000 PE101 reads.","2016"
"SRP039553",87,"2016-07-08","GEO",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Genomic features shaping the landscape of meiotic double-strand break hotspots in maize [ChIP-Seq]",NA,"GSE55701",NA,"To generate the double-strand break (DSB) hotspot map in maize, we used a chromatin immunoprecipitation (ChIP) approach, in which chromatin from flowers containing zygotene meiocytes was enriched in fragments associated with RAD51. Overall design: To identify sites occupied by RAD51, we compared the genomic distribution of RAD51 ChIP-seq reads to (i) Illumina-sequenced meiotic input chromatin that was not subjected to ChIP, (ii) ChIP products generated by using pre-immune IgG, instead of the anti-RAD51 antibody, on meiotic chromatin, and (iii) ChIP products generated using the anti-RAD51 antibody on leaf tissue chromatin. RAD51 ChIP-seq was also performed on the meiotic chromatin of a POOR HOMOLOGOUS SYNAPSIS1 (phs1) mutant.",NA,"2016"
"ERP004161",86,"2016-06-28","IPK-Gatersleben","Bioinformatics and Information Technology","ILLUMINA","Illumina HiScanSQ","INSTRUMENT_MODEL: Illumina HiScanSQ","RNA-Seq_maize_B73",NA,"ena-STUDY-IPK-Gatersleben-22-10-2013-11:35:11:984-33",NA,"RNA Sequencing of Zea mays cultivar B73","RNA Sequencing of Zea mays cultivar B73","2016"
"SRP041183",85,"2015-02-26","University of Minnesota","Springer Lab","ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays Transcriptome or Gene expression",NA,"PRJNA244661",NA,"Transcriptome of Zea mays genotypes under control and stress conditions. Stress conditions include heat, cold, salt, and UV.",NA,"2015"
"SRP055137",83,"2015-02-23","GEO",NA,"ILLUMINA","Illumina HiSeq 2500","INSTRUMENT_MODEL: Illumina HiSeq 2500","Transcriptome changes in Fusarium verticillioides caused by mutation in the transporter-like gene FST1",NA,"GSE66044",NA,"An gene-expression comparison of the wild type and strain delta-fst1 of Fusarium verticillioides grown on autoclaved maize kernels for six days was conducted. Overall design: Comparison of gene-expression between the wild type and strain delta-fst1 of Fusarium verticillioides grown on autoclaved maize kernels for six days.  For each strain, RNA was isolated from four biological replicates.  Sequences was obtain by HiSeq Illumina sequencer.",NA,"2015"
"SRP065592",83,"2015-11-05","The Research Institute of Forestry, Chinese Academy of Forestry","State Key Laboratory of Tree Genetics and Breeding","ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays subsp. mays L. breed:Maize inbred line A188 Transcriptome or Gene expression",NA,"PRJNA299127",NA,"transcriptome analysis of maize leaves response to mechanical wounding and simulated herbivory of Mythimna separata",NA,"2015"
"SRP001425",82,"2014-05-26","BGI","BGI","ILLUMINA","Illumina Genome Analyzer II","INSTRUMENT_MODEL: Illumina Genome Analyzer II","Zea mays strain:Zheng58, Mo17, 5003, 478, 178, and Chang7-2 Genome sequencing",NA,"maize_resequencing","2009-11-29","Whole genome re-sequencing analysis of Zheng58, Mo17, 5003, 478, 178, and Chang7-2,six elite maize lines. This effort will illustrate the genomic changes that have occurred in the large and complex genome coincident with its genetic improvement.",NA,"2014"
"SRP072207",80,"2016-03-25","GEO",NA,"ILLUMINA","Illumina HiSeq 2500","INSTRUMENT_MODEL: Illumina HiSeq 2500","Next Generation Sequencing Facilitates Quantitative Analysis of Transcriptomes for Wild Type and Mutants including opaque2, PbfRNAi and PbfRNAi;o2 in Maize (Zea mays)",NA,"GSE79513",NA,"The goals of this study are to study the regulatory network of the two maize endosperm-specific transcription factors O2 and PBF by 16-DAP endosperm transcriptome profiling (RNA-seq) of their mutants and wild type. The results utilize the expression pattern of global genes regulated by PBF and O2 to elucidate their control for storage compounds synthesis in maize kernels. Overall design: The 16-DAP endosperm transcriptome of  wild type (WT) and mutants including opaque2, PbfRNAi and PbfRNAi;o2 were generated by RNA-seq with three biological replicates per genotype on Illumina HiSeqTM2500.",NA,"2016"
"SRP011560",78,"2015-07-11","Iowa State University","Schnable Lab","ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","The Zeanome",NA,"NSF-CNV-Teosinte","2012-03-16","Maize exhibits levels of structural variation (SV) of non-repeat sequences that are unprecedented among higher eukaryotes. This SV includes hundreds of copy number variants (CNVs) and thousands of presence/absence variants (PAVs). Many of the PAVs contain intact, expressed, single-copy genes that are present in one haplotype but absent from another. The goal of this project is to test the hypothesis that differences in gene copy number (both gains and losses) contribute to the extraordinary phenotypic diversity and plasticity of maize. Maize is a good model for these studies because it exhibits a rapid decay of linkage disequilibrium (LD) and because a draft genome sequence of the B73 inbred and mapping populations are available. As a first step, the Zeanome, a near-complete set of genes present in B73, other maize lines and the wild ancestor of maize (teosinte), is being defined using transcriptomic data.",NA,"2015"
"SRP003459",76,"2013-07-28","NCGR",NA,"ILLUMINA","Illumina Genome Analyzer II","INSTRUMENT_MODEL: Illumina Genome Analyzer II"," Detection by Deep-Sequencing Transcriptome Analysis of Associations of Genotypic Variation in Maize (Zea mays L.) Ear Shoot Meristem mRNA Transcript Abundance with Genotypic Variation in Kernels per Row and Grain Yield in a Replicated Field Experiment",NA,"NCGR_zircon","2010-09-07","A whole-genome deep-sequencing transcript abundance scan for genotypic and cis-/ trans-regulatory variation in gene expression in maize (Zea mays L.) ear shoot apical meristem was conducted on tissue sampled from a generation means experiment administered under field conditions  Additive (cis-regulatory) variation was the most prevalent mode of genotypic variability observed. Highly significant genotypic variation in transcript expression was detected in over 25% of the 30,208 genes scanned. Of these, 3% were highly correlated with genotypic variation of kernels per row and grain weight per ear. Genes at the ramosa1 and ramosa2 loci, and a gene homologous to the ramosa3 locus, were conspicuous members of this  set, substantiating  that genotypic variation for lateral branch initiation in the ear shoot apical meristem is associated with variation of branching phenotype in the mature ear. A possible role of reactive oxygen signaling in lateral branch initiation is discussed. ",NA,"2013"
"SRP062027",73,"2016-02-05","GEO",NA,"ILLUMINA","Illumina HiSeq 2500","INSTRUMENT_MODEL: Illumina HiSeq 2500","Genome-wide analysis of alternative splicing during development and drought in Zea mays",NA,"GSE71723",NA,"Analysis of the maize alternative splicing landscape, including transcript discovery and quantification during development and drought Overall design: Total RNA was isolated from well-watered and drought stressed leaves, ears and tassels of maize plants and used to construct RNA seq libraries",NA,"2016"
"SRP042173",71,"2014-06-18","China Agricultural University","Lai Lab","ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays subsp. mays Genome sequencing",NA,"PRJNA248246",NA,"generate SNP markers for QTL mapping",NA,"2014"
"ERP001447",69,"2016-02-26","IPK-Gatersleben",NA,"ILLUMINA","Illumina Genome Analyzer IIx","INSTRUMENT_MODEL: Illumina Genome Analyzer IIx","Whole genome shotgun survey sequencing of Barley genotype BW457 for de novo assembly of gene-space",NA,"BW457_WGS",NA,"Barley (Hordeum vulgare L.) is amongst the oldest domesticated crop plants and remains one of the worldÃ¢â‚¬â„¢s most important crop species. It is diploid with a haploid genome of 5.1 gigabases (Gb), twice the size of those of human and maize, andclosely related to the most widely grown crop, hexaploid wheat. To meet global demand for food, feed and fibre, it is commonly agreed that reference genome sequences of our crop plants are urgently required to enable genome-assisted crop improvement. In the framework of the The International Barley Genome Sequencing Consortium (IBSC) we present here the whole genome shotgun rawdata of different barley cultivars and genotypes to build a physical ordered genetic and functional sequence resource.","Barley (Hordeum vulgare L.) is amongst the oldest domesticated crop plants and remains one of the worldÃ¢â‚¬â„¢s most important crop species. It is diploid with a haploid genome of 5.1 gigabases (Gb), twice the size of those of human and maize, andclosely related to the most widely grown crop, hexaploid wheat. To meet global demand for food, feed and fibre, it is commonly agreed that reference genome sequences of our crop plants are urgently required to enable genome-assisted crop improvement. In the framework of the The International Barley Genome Sequencing Consortium (IBSC) we present here the whole genome shotgun rawdata of different barley cultivars and genotypes to build a physical ordered genetic and functional sequence resource.","2016"
"SRP026399",68,"2015-10-20","GEO",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays Transcriptome or Gene expression",NA,"GSE48425",NA,"In angiosperms, the endosperm provides nutrients for embryogenesis or seed germination and is the primary tissue where gene imprinting occurs. To map the imprintome of the early developing endosperm in maize, we performed high-throughput transcriptome sequencing of the kernels at 0, 3, 5 days after pollination (DAP) and the endosperms at 7, 10, and 15 DAP produced from the B73 and Mo17 reciprocal crosses. We observed a gradual increase of paternal gene mRNAs in the 3- and 5-DAP kernels. In the 7-DAP endosperm, the majority of the tested genes reached a ratio of 2m:1p suggesting that paternal genes were nearly fully activated by 7 DAP. A total of 116, 234 and 63 imprinted genes exhibiting parent-specific expression were identified in the 7-, 10-, and 15-DAP endosperms, respectively. The highest amount of paternally expressed genes (PEGs) was found at 7 DAP mainly due to the significantly deviated parental allele expression ratio of these genes at this stage, while nearly 80% of the maternally expressed genes (MEGs) were specific to 10 DAP which were primarily attributed to the sharply increased expression levels compared to the other stages. GO enrichment analysis of the imprinted genes indicated the 10-DAP-specific MEGs were involved in the nutrient uptake and allocation through auxin signaling pathway in the maize endosperm coincident with the endosperm developmental stage associated with the beginning of starch and storage protein accumulation Overall design: The unpollinated kernels (0 DAP), the kernels of 3, 5 DAP and endosperms of 7 10, 15 DAP from the B73 and Mo17 reciprocal crosses were used to perform high-throughput sequencing using the Illumina HiSeq2000 platform",NA,"2015"
"SRP029742",68,"2015-04-14","Iowa State University","Schnable Lab","ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays Transcriptome or Gene expression",NA,"PRJNA218555",NA,"Heterosis which is the improved vigor of F1-hybrids compared to their parents is widely exploited in maize (Zea mays L.) breeding to produce elite hybrids of superior yield. The transcriptomes of the maize inbred lines B73 and Mo17 and their reciprocal hybrid offspring were surveyed in the meristematic zone, the elongation zone, cortex and stele tissues of primary roots, prior to the developmental manifestation of heterosis. Single parent expression (SPE) is consistent with the dominance model for heterosis in that it denotes genes that are expressed in only one parent but in both reciprocal hybrids. In primary root tissues, between 1,027 (elongation zone) and 1,206 (stele) SPE patterns were observed. As a consequence, hybrids displayed in each tissue >400 active genes more than either parent. Analysis of tissue-specific SPE dynamics revealed that 1,233 of 2,233 SPE genes displayed SPE in all tissues in which they were expressed while 1,000 SPE genes displayed in at least one tissue a non-SPE pattern. In addition, 64% (17,351/ 27,164) of all expressed genes were assigned to the two subgenomes which are the result of an ancient genome duplication. By contrast, only between 18 and 25% of the SPE genes were assigned to a subgenome suggesting that a disproportionate number of SPE genes are evolutionary young and emerged after genome duplication. We hypothesize that this phenomenon is associated with human selection of favorable maize genotypes which might primarily affect younger genes rather than genes whose functions have been conserved for millions of years.",NA,"2015"
"SRP040808",68,"2015-11-27","GEO",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays subsp. mays Transcriptome or Gene expression",NA,"GSE56459",NA,"To identificate long noncoding RNAs in maize, we profiled transcriptome of shoots and roots using non-directional paired-end RNA-seq based on poly(A) selection. Overall design: Transcriptom profiling in maize shoots and roots.",NA,"2015"
